sample_name	percent_live_1	percent_live_2	percent_live_3	percent_injured_1	percent_injured_2	percent_injured_3	percent_dead_1	percent_dead_2	percent_dead_3	concentration_1	concentration_2	concentration_3	Method	Medium	Timepoint
CRYO1_A_01	67.71	64.8	61.86	3.24	3.35	3.21	29.04	31.85	34.93	384800000	467950000	475275000	CRYO1	A	3
CRYO1_B_01	64.89	64.56	56.23	4.77	4.94	4.53	30.34	30.5	39.23	636700000	628800000	642000000	CRYO1	B	3
CRYO1_C_01	61.79	58.97	61.64	2.9	3.22	2.77	35.31	37.82	35.6	384740000	381840000	378940000	CRYO1	C	3
CRYO2_A_01	63.81	67.44	64.4	2.9	2.99	3.16	33.28	29.57	32.44	463475000	475875000	481925000	CRYO2	A	3
CRYO2_B_01	67.28	64.65	67.15	3.51	3.51	3.61	29.2	31.84	29.24	385220000	377280000	371860000	CRYO2	B	3
CRYO2_C_01	65.85	64.02	65.76	3.32	3.5	3.19	30.83	32.48	31.05	383800000	381420000	384880000	CRYO2	C	3
LYO1_A_01	47	47.8	45.09	6.67	6.18	6.01	46.33	46.03	48.9	715318182	624208333	693391304	LYO1	D	3
LYO1_B_01	52.48	52.7	51.68	7.7	8.31	7.43	39.82	38.99	40.88	412538462	605560000	665708333	LYO1	E	3
LYO1_C_01	39.5	34.65	32.69	12.34	11.1	12.17	48.16	54.26	55.14	398648649	619960000	431200000	LYO1	F	3
LYO1_D_01	25.55	30.11	33.16	7.31	10.18	9.65	67.14	59.71	57.19	493548387	473500000	410628571	LYO1	G	3
LYO2_A_01	56.67	55.16	54.3	8.22	8.32	10.34	35.1	36.52	35.36	323606250	288566667	335737500	LYO2	D	3
LYO2_B_01	57.13	49.26	49.81	11.95	5.2	5.2	30.92	45.54	44.99	335737500	373778571	293216667	LYO2	E	3
LYO2_C_01	38.49	33.97	38.39	17.94	10.78	7.14	43.57	55.25	54.46	1411425000	333675000	329756250	LYO2	F	3
LYO2_D_01	45.14	45.17	45.23	8.94	13.13	10.94	45.92	41.69	43.83	286250000	295166667	330768750	LYO2	G	3
CRYO1_A_02	66.01	60.03	64.7	4.2	5.9	6.5	29.79	34.07	28.8	272628571	238387500	269914286	CRYO1	A	3
CRYO1_B_02	71.06	69.79	70.74	5.35	6.16	5.86	23.59	24.05	23.4	318983333	268400000	312866667	CRYO1	B	3
CRYO1_C_02	58.88	57.61	59.07	3.76	5.84	4.05	37.36	36.55	36.88	233575000	208611111	236087500	CRYO1	C	3
CRYO2_A_02	75.34	63.25	62.61	4.22	5.77	5.26	20.43	30.98	32.13	268614286	273785714	238037500	CRYO2	A	3
CRYO2_B_02	70.44	71.08	64.76	5.35	3.61	4.47	24.21	25.31	30.77	233237500	239837500	237312500	CRYO2	B	3
CRYO2_C_02	74.93	71.09	73.92	6.35	4.82	5.88	18.72	24.09	20.2	318416667	315466667	320466667	CRYO2	C	3
LYO1_A_02	49.15	51.66	53.48	4.94	6.24	6.76	45.91	42.1	39.76	686555556	731400000	688925926	LYO1	D	3
LYO1_B_02	47.4	48.38	47.59	7.41	6.9	8.01	45.2	44.71	44.39	674153846	707307692	662259259	LYO1	E	3
LYO1_C_02	30.55	31.53	34.07	13.24	12.85	12.95	56.2	55.62	52.99	345836735	383808511	302820000	LYO1	F	3
LYO1_D_02	33.64	31.37	38.13	11.22	9.98	12.57	55.14	58.64	49.3	432710526	432380952	429292683	LYO1	G	3
LYO2_A_02	53.41	52.73	51.12	8.93	8.33	5.54	37.66	38.94	43.35	273975000	273885000	241922727	LYO2	D	3
LYO2_B_02	52.14	53.02	52.63	11.42	11.36	12	36.44	35.62	35.37	308600000	311266667	539730000	LYO2	E	3
LYO2_C_02	42.29	44.01	42.65	9.54	11.32	10.54	48.18	44.68	46.82	306366667	343275000	345506250	LYO2	F	3
LYO2_D_02	43.61	42.96	43.52	10.22	10.64	10.7	46.16	46.41	45.78	303350000	333862500	271290000	LYO2	G	3
CRYO1_A_03	61.18	60.58	59.22	3.55	3.6	3.6	35.27	35.83	37.18	313866667	226412500	261185714	CRYO1	A	3
CRYO1_B_03	68.23	67.81	68.45	5.94	5.39	5.21	25.83	26.8	26.34	309883333	304200000	374120000	CRYO1	B	3
CRYO1_C_03	61.59	62.8	60.04	3.56	4	3.41	34.85	33.2	36.55	230562500	230925000	231900000	CRYO1	C	3
CRYO2_A_03	62.11	62.96	63.83	3.09	2.71	3.15	34.8	34.33	33.03	227987500	261400000	264757143	CRYO2	A	3
CRYO2_B_03	69.34	63.61	65.05	3.61	2.89	3.07	27.05	33.51	31.88	312933333	268557143	269185714	CRYO2	B	3
CRYO2_C_03	70.22	64.95	66.98	4.19	4.24	4.32	25.59	30.8	28.7	224800000	260700000	233200000	CRYO2	C	3
LYO1_A_03	50.41	53.16	51.87	7.36	6.74	7.39	42.23	40.1	40.74	660814815	634777778	693956522	LYO1	D	3
LYO1_B_03	49.06	49.15	50.73	6.98	7.06	6.91	43.96	43.79	42.36	717583333	736791667	714320000	LYO1	E	3
LYO1_C_03	38.49	37.06	41.69	10.88	12.69	13.74	50.63	50.25	44.57	437894737	434641026	427075000	LYO1	F	3
LYO1_D_03	32.14	37.66	36.48	10.1	12.07	10.22	57.76	50.27	53.3	402285714	457216216	438435897	LYO1	G	3
LYO2_A_03	57.8	53.62	51.49	15.36	10.54	7.34	26.84	35.84	41.17	376264286	329006250	373285714	LYO2	D	3
LYO2_B_03	53.53	54.68	53.03	11.34	11.29	10.2	35.12	34.03	36.77	335625000	328837500	336337500	LYO2	E	3
LYO2_C_03	38.67	38.93	40.59	8.57	9.63	11.58	52.76	51.44	47.82	330600000	298416667	329400000	LYO2	F	3
